,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
651,13.30,60,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,"18,858",4.7,Randall Munroe,Hardcover,2015
652,7.68,61,Paper Towns,"10,316",4.4,John Green,Paperback,2015
653,12.79,62,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","33,635",4.8,Laura Hillenbrand,Paperback,2015
654,9.00,63,Get What's Yours: The Secrets to Maxing Out Your Social Security (The Get What's Yours Series),"3,095",4.2,Laurence J. Kotlikoff,Hardcover,2015
655,11.46,64,"Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer (Magnus Chase and the Gods of Asgard, 1)","7,467",4.7,Rick Riordan,Hardcover,2015
656,8.95,65,Dragons Love Tacos,"15,771",4.8,Adam Rubin,Hardcover,2015
657,8.29,66,Fahrenheit 451,"35,015",4.6,Ray Bradbury,Paperback,2015
658,9.48,67,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8,,Paperback,2015
659,7.99,68,Potty (Leslie Patricelli board books),"12,941",4.7,Leslie Patricelli,Board book,2015
660,22.49,69,Thing Explainer: Complicated Stuff in Simple Words,"3,838",4.6,Randall Munroe,Hardcover,2015
661,19.71,70,Dead Wake: The Last Crossing of the Lusitania,"11,012",4.6,Erik Larson,Hardcover,2015
662,3.97,71,The Going-To-Bed Book,"15,413",4.8,Sandra Boynton,Board book,2015
663,12.87,72,"Inspiralized: Turn Vegetables into Healthy, Creative, Satisfying Meals: A Cookbook","3,754",4.4,Ali Maffucci,Paperback,2015
664,3.99,73,Mystical Mandala Coloring Book (Dover Mandala Coloring Books),"2,945",4.5,Alberta Hutchinson,Paperback,2015
665,144.00,74,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","12,119",4.7,American Psychiatric Association,Paperback,2015
666,6.99,75,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.6,,Paperback,2015
667,12.74,76,The 20/20 Diet: Turn Your Weight Loss Vision Into Reality,Phil McGraw,4.0,,Hardcover,2015
668,5.49,77,Night (Night),"8,578",4.7,Elie Wiesel,Paperback,2015
669,18.45,78,What to Expect When You're Expecting,"29,403",4.8,Heidi Murkoff,Paperback,2015
670,15.79,79,The Jesus Storybook Bible: Every Story Whispers His Name,"11,872",4.9,Sally Lloyd-Jones,Hardcover,2015
671,12.99,80,The Road to Character,"3,074",4.4,David Brooks,Hardcover,2015
672,4.98,81,Where Is Baby's Belly Button? A Lift-the-Flap Book,"12,748",4.8,Karen Katz,Board book,2015
673,13.29,82,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream","94,833",4.7,Paulo Coelho,Paperback,2015
674,10.00,83,Guess How Much I Love You,"5,892",4.8,Sam McBratney,Board book,2015
675,8.50,84,"Creative Coloring Inspirations: Art Activity Pages to Relax and Enjoy! (Design Originals) 30 Motivating & Creative Art Activities on High-Quality, Extra-Thick Perforated Pages that Won't Bleed Through","1,797",4.7,Valentina Harper,Paperback,2015
676,,85,Little Blue Truck,"1,958",4.9,Alice Schertle,Board book,2015
677,9.49,86,The Outsiders,"30,631",4.8,S. E. Hinton,Paperback,2015
678,11.29,87,"Thinking, Fast and Slow","29,758",4.6,Daniel Kahneman,Paperback,2015
679,7.50,88,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!","6,281",4.6,Tom Robinson,Paperback,2015
680,7.48,89,1984,"72,522",4.7,George Orwell,Mass Market Paperback,2015
681,27.87,90,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition","9,898",4.7,Kerry Patterson,Paperback,2015
682,14.98,91,Emotional Intelligence 2.0,"10,442",4.5,Travis Bradberry,Hardcover,2015
683,10.40,92,For the Love: Fighting for Grace in a World of Impossible Standards,"1,862",4.6,Jen Hatmaker,Hardcover,2015
684,13.48,93,"Press Here (Interactive Book for Toddlers and Kids, Interactive Baby Book) (Press Here by Herve Tullet)","13,605",4.8,Herve Tullet,Hardcover,2015
685,,94,Little Blue Truck board book,"8,204",4.9,Alice Schertle,Board book,2015
686,4.55,95,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,,Board book,2015
687,7.99,96,A Long Walk to Water: Based on a True Story,"16,150",4.7,Linda Sue Park,Paperback,2015
688,25.64,97,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,"33,344",4.7,George R. R. Martin,Mass Market Paperback,2015
689,13.32,98,Rogue Lawyer: A Novel,"17,698",4.2,John Grisham,Hardcover,2015
690,4.72,99,Detailed Designs and Beautiful Patterns (Sacred Mandala Designs and Patterns Coloring Books for Adults),"1,060",4.5,Lilt Kids Coloring Books,Paperback,2015
691,5.99,100,Lord of the Flies,"31,864",4.6,William Golding,Mass Market Paperback,2015
692,11.46,1,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script","43,363",4.3,J.K. Rowling,Hardcover,2016
693,18.29,2,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2016
694,4.78,3,First 100 Words: A Padded Board Book,"35,259",4.7,Roger Priddy,Board book,2016
695,8.32,4,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,,Hardcover,2016
696,8.48,5,"Oh, the Places You'll Go!  ","42,891",4.9,Dr. Seuss,Hardcover,2016
697,14.25,6,Diary of a Wimpy Kid #11: Double Down,"14,038",4.8,Jeff Kinney,Hardcover,2016
698,12.77,7,When Breath Becomes Air,"29,372",4.8,Paul Kalanithi,Hardcover,2016
699,6.90,8,Giraffes Can't Dance,"28,453",4.8,Giles Andreae,Board book,2016
700,7.57,9,The 5 Love Languages: The Secret to Love that Lasts,"69,932",4.8,Gary Chapman,Paperback,2016
701,14.68,10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,,Hardcover,2016
702,7.63,11,A Man Called Ove: A Novel,"57,041",4.7,Fredrik Backman,Paperback,2016
703,16.00,12,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),"11,311",4.8,Bill O'Reilly,Hardcover,2016
704,10.50,13,How to Win Friends & Influence People,"79,206",4.7,Dale Carnegie,Paperback,2016
705,12.07,14,The Magnolia Story,"10,134",4.8,Chip Gaines,Hardcover,2016
706,4.99,15,Laugh-Out-Loud Jokes for Kids,"10,753",4.6,Rob Elliott,Paperback,2016
707,17.36,16,To Kill a Mockingbird,"68,927",4.8,Harper Lee,Mass Market Paperback,2016
708,9.65,17,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"29,415",4.5,J. D. Vance,Hardcover,2016
709,13.40,18,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),"9,219",4.7,J.K. Rowling,Hardcover,2016
710,23.69,19,Hamilton: The Revolution,"13,108",4.9,Lin-Manuel Miranda,Hardcover,2016
711,10.33,20,The Girl on the Train,"91,541",4.1,Paula Hawkins,Paperback,2016
712,8.55,21,Mindset: The New Psychology of Success,"13,934",4.6,Carol S. Dweck,Paperback,2016
713,,22,"The Official SAT Study Guide, 2016 Edition","1,090",4.4,The College Board,Paperback,2016
714,8.99,23,,"3,113",4.5,,Paperback,2016
